Resumo;Chave do item;ID do item;ID principal;Tipo de Item;Situação;Chave do projeto;Nome do projeto;Tipo de projeto;Líder do projeto;Descrição do projeto;URL do projeto;Prioridade;Resolução;Responsável;Solicitante;Criador;Criado;Atualizado;Última visualização;Resolvido;Componente(s);Componente(s);Data para Ficar Pronto;Votos;Descrição;Ambiente;Acompanhadores;Acompanhadores;Acompanhadores;Tempo Estimado;Tempo Restante;Tempo Gasto;Razão Trabalhada;Σ da Estimativa Original;Σ da Estimativa Restante;Σ Tempo Gasto;Nível de Segurança;Anexos;Anexos;Campo personalizado (Ambiente de teste);Campo personalizado (CSV Link);Campo personalizado (Conclusão prevista para);Campo personalizado (Critério de Aceite);Campo personalizado (Duration [Gantt]);Campo personalizado (End Date [Gantt]);Campo personalizado (Epic Link);Campo personalizado (Equipe);Campo personalizado (Estimativa Genérica);Campo personalizado (Início alvo);Campo personalizado (Link para pai);Campo personalizado (Marcado);Campo personalizado (Notebook link);Campo personalizado (Perfis de acesso);Campo personalizado (Pontos da História);Campo personalizado (Pontos da história originais);Campo personalizado (Projeto);Campo personalizado (Rank);Sprint;Sprint;Sprint;Sprint;Campo personalizado (Start Date [Gantt]);Campo personalizado (Tela do figma);Comentário;Comentário;Comentário
[Front] Implementar tela de onboarding de usuário - contas smart;IZY-3531;32003;;Tarefa;Backlog;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;;;eliezio.soares;eliezio.soares;06/01/25 10:14:26;06/01/25 11:20:28;06/01/25 11:20:28;;;;;0;"Implementar tela de recepção de usuários no onboarding e opções de vinculação de conta, em conformidade com protótipo de alta fidelidade.";;eliezio.soares;;;;;;;;;;;"06/01/25 10:14:39;eliezio.soares;onboarding conta.png;https://jira.smartretail.ufrn.br/jira/secure/attachment/22904/onboarding+conta.png";;;;;;;;;;;;;;;;;;;"0|i032cc:";Izy - Cycle 24.1 Sprint 4;;;;;;;;
[Front] Implementar tela de perfil - vincular contas;IZY-3530;32002;;Tarefa;Backlog;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;;;eliezio.soares;eliezio.soares;06/01/25 10:08:28;06/01/25 11:20:48;06/01/25 11:20:48;;FRONT;;;0;"Implementar tela de vinculação de contas no onboarding de usuários, em conformidade com protótipo de alta fidelidade.";;eliezio.soares;;;;;;;;;;;"06/01/25 10:11:37;eliezio.soares;contas.png;https://jira.smartretail.ufrn.br/jira/secure/attachment/22903/contas.png";"06/01/25 10:08:39;eliezio.soares;perfil-vincularconta.png;https://jira.smartretail.ufrn.br/jira/secure/attachment/22902/perfil-vincularconta.png";;;;;;;;;;;;;;;;;;"0|i032c4:";Izy - Cycle 24.1 Sprint 4;;;;;;;;
[Front] Implementar tela de onboarding de usuário;IZY-3529;32001;;Tarefa;Backlog;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;;;eliezio.soares;eliezio.soares;06/01/25 10:03:54;06/01/25 11:16:46;06/01/25 11:16:46;;FRONT;;;0;Implementar tela de recepção de usuários no onboarding em conformidade com protótipo de alta fidelidade.;;eliezio.soares;;;;;;;;;;;"06/01/25 10:04:07;eliezio.soares;onboarding.png;https://jira.smartretail.ufrn.br/jira/secure/attachment/22901/onboarding.png";;;;;;;;;;;;;;;;;;;"0|i032ck:";Izy - Cycle 24.1 Sprint 4;;;;;;;;
[Front] Implementar tela de login;IZY-3528;32000;;Tarefa;Backlog;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;;;eliezio.soares;eliezio.soares;06/01/25 09:56:59;06/01/25 11:21:02;06/01/25 11:21:02;;FRONT;;;0;"Remodelar tela de login para novo padrão de onboarding de usuário, em conformidade com protótipo de alta fidelidade.";;eliezio.soares;;;;;;;;;;;"06/01/25 09:57:21;eliezio.soares;login.png;https://jira.smartretail.ufrn.br/jira/secure/attachment/22900/login.png";;;;;;;;;;;;;;;;;;;"0|i032bw:";Izy - Cycle 24.1 Sprint 4;;;;;;;;
[BACK] Erro ao finalizar vinculação de conta Imou;IZY-3527;31956;30708;Sub-tarefa-bug;Concluída;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;Concluída;leonandro.gurgel;aamedeiros;aamedeiros;27/12/24 16:33:16;27/12/24 22:35:30;06/01/25 14:56:12;27/12/24 22:35:30;BACK;;;0;"Ao finalizar a vinculação da conta Imou, é mostrado um toast vermelho para o usuário indicando erro de requisição. Tal situação ocorre pois acontece erro 401 no endpoint ""mou/users/attach"". Tal situação é mostrada no vídeo abaixo.

[^Gravar_2024_12_27_16_09_33_573.mp4]

 ";;aamedeiros;;;;;;;;;;;"27/12/24 16:31:43;aamedeiros;Gravar_2024_12_27_16_09_33_573.mp4;https://jira.smartretail.ufrn.br/jira/secure/attachment/22828/Gravar_2024_12_27_16_09_33_573.mp4";;;;;;;;;;;;;;;;;;;"0|i032bo:";Izy - Cycle 24.1 Sprint 1;Izy - Cycle 24.1 Sprint 2;Izy - Cycle 24.1 Sprint 3;;;;;;
[FRONT] Redirecionamento para url incorreta;IZY-3526;31930;30708;Sub-tarefa-bug;Concluída;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;Concluída;uriel.lira;aamedeiros;aamedeiros;27/12/24 15:03:13;27/12/24 15:04:36;06/01/25 14:56:12;27/12/24 15:03:57;FRONT;;;0;"Após realizar o login na imou, o usuário está sendo redirecionado para uma url incorreta, conforme mostrado na imagem abaixo. 

 

!image-2024-12-27-15-02-50-528.png!";;aamedeiros;;;;;;;;;;;"27/12/24 15:02:49;aamedeiros;image-2024-12-27-15-02-50-528.png;https://jira.smartretail.ufrn.br/jira/secure/attachment/22827/image-2024-12-27-15-02-50-528.png";;;;;;;;;;;;;;;;;;;"0|i03264:";Izy - Cycle 24.1 Sprint 1;Izy - Cycle 24.1 Sprint 2;Izy - Cycle 24.1 Sprint 3;;;;;;
[FRONT] Redirecionamento incorreto após autorização da Imou;IZY-3525;31925;30708;Sub-tarefa-bug;Concluída;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;Concluída;uriel.lira;aamedeiros;aamedeiros;27/12/24 10:54:17;27/12/24 11:41:16;27/12/24 14:19:09;27/12/24 11:41:16;FRONT;;;0;"Quando o usuário faz o login na Imou e clica para autorizar, está dando tela 404 pois o front espera o code em select-home ao invés de auth. Tal situação é mostrado no vídeo abaixo.

[^Gravar_2024_12_27_10_18_51_207.mp4]

 ";;aamedeiros;;;;;;;;;;;"27/12/24 10:53:47;aamedeiros;Gravar_2024_12_27_10_18_51_207.mp4;https://jira.smartretail.ufrn.br/jira/secure/attachment/22824/Gravar_2024_12_27_10_18_51_207.mp4";;;;;;;;;;;;;;;;;;;"0|i03250:";Izy - Cycle 24.1 Sprint 1;Izy - Cycle 24.1 Sprint 2;Izy - Cycle 24.1 Sprint 3;;;;;;
Não é possível vincular conta;IZY-3524;31917;30708;Sub-tarefa-bug;Concluída;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;Concluída;uriel.lira;aamedeiros;aamedeiros;27/12/24 08:37:42;27/12/24 11:41:14;27/12/24 14:18:51;27/12/24 11:41:14;;;;0;"Ao clicar para vincular conta, o usuário é redirecionado para tela de empreendimentos, conforme mostrado no vídeo abaixo.

[^Gravar_2024_12_27_07_39_17_985.mp4]

 ";;aamedeiros;;;;;;;;;;;"27/12/24 08:36:58;aamedeiros;Gravar_2024_12_27_07_39_17_985.mp4;https://jira.smartretail.ufrn.br/jira/secure/attachment/22822/Gravar_2024_12_27_07_39_17_985.mp4";;;;;;;;;;;;;;;;;;;"0|i03238:";Izy - Cycle 24.1 Sprint 1;Izy - Cycle 24.1 Sprint 2;Izy - Cycle 24.1 Sprint 3;;;;;;
[FrontEnd] Alterar prefixo mibo para imou nos endpoints;IZY-3523;31891;30708;Sub-tarefa-padrão;Concluída;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;Concluída;uriel.lira;uriel.lira;uriel.lira;26/12/24 09:46:11;26/12/24 09:49:51;06/01/25 14:56:12;26/12/24 09:49:51;FRONT;;;0;"endpoints afetados

POST mibo/users/attach -> imou/users/attach

GET mibo/users/\{userId}/devices -> imou/users/\{userId}/devices";;uriel.lira;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i031xo:";Izy - Cycle 24.1 Sprint 1;Izy - Cycle 24.1 Sprint 2;Izy - Cycle 24.1 Sprint 3;;;;;;
[BackEnd] Utilizar Refresh Token para renovar Token de acesso Imou;IZY-3522;31730;;História;Concluída;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;Concluída;leonandro.gurgel;paulo.lopes.013;paulo.lopes.013;20/12/24 21:46:52;06/01/25 08:09:01;23/12/24 11:05:52;27/12/24 14:13:50;BACK;;;0;"Atualmente o acessToken da conta Imou vinculada tem duração de 2h. Próximo a esse tempo (1h30), ao realizar alguma requisição, o acessToken devera ser renovado automaticamente, por meio do refreshToken válido de sua conta. 

Caso não exista refreshToken, o usuário receberá aviso para vincular novamente sua conta Imou.";;paulo.lopes.013;;;;;;;;;;;;;;;;;;;;;;;;;;;3.0;;;"0|i02xmn:i";Izy - Cycle 24.1 Sprint 3;;;;;;;;
Criar runner no Kubernetes;IZY-3521;31724;;Tarefa;Backlog;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;;paulo.vanzo;paulo.vanzo;paulo.vanzo;20/12/24 13:48:49;20/12/24 13:52:11;06/01/25 14:56:12;;;;;0;"Utilizar ASG (Autoscaling Group), Nodegroups e chart do gitlab runner para configurar o runner no kubernetes";;paulo.vanzo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i00jk8:mi0y0002hl9";;;;;;;;;
Adicionar autenticação diretamente no job da pipeline via variáveis de CI/CD;IZY-3520;31723;31410;Sub-tarefa-padrão;Concluída;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;Concluída;paulo.vanzo;paulo.vanzo;paulo.vanzo;20/12/24 13:47:01;20/12/24 13:47:19;06/01/25 14:56:12;20/12/24 13:47:03;;;;0;;;paulo.vanzo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i031cc:";Izy - Cycle 24.1 Sprint 2;Izy - Cycle 24.1 Sprint 3;;;;;"20/12/24 13:47:19;paulo.vanzo;Resolve problema de acesso ao registry;;;";;
[BACKEND] Criar endpoint para edição de dispositivos (Imou);IZY-3519;31722;30710;Sub-tarefa-padrão;Concluída;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;Concluída;bruno.moreno;leonandro.gurgel;leonandro.gurgel;20/12/24 13:33:06;27/12/24 08:07:27;06/01/25 14:56:12;27/12/24 08:07:27;;;;0;;;leonandro.gurgel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i031c4:";Izy - Cycle 24.1 Sprint 1;Izy - Cycle 24.1 Sprint 2;Izy - Cycle 24.1 Sprint 3;;;;;;
[BACKEND] Criar helper para injetar o token do redis nos params antes da request;IZY-3518;31708;31004;Sub-tarefa-padrão;Concluída;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;Concluída;leonandro.gurgel;leonandro.gurgel;leonandro.gurgel;20/12/24 10:27:34;20/12/24 13:57:59;06/01/25 14:56:12;20/12/24 13:57:59;;;;0;;;leonandro.gurgel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i03190:";Izy - Cycle 24.1 Sprint 1;Izy - Cycle 24.1 Sprint 2;Izy - Cycle 24.1 Sprint 3;;;;;;
[FrontEnd] Corrigir typagem de retorno da requisição;IZY-3517;31707;31004;Sub-tarefa-padrão;Concluída;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;Concluída;uriel.lira;uriel.lira;uriel.lira;20/12/24 10:27:20;20/12/24 10:31:10;06/01/25 14:56:12;20/12/24 10:31:10;FRONT;;;0;;;uriel.lira;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i0318s:";Izy - Cycle 24.1 Sprint 1;Izy - Cycle 24.1 Sprint 2;Izy - Cycle 24.1 Sprint 3;;;;;;
[FrontEnd] Atualizar parametros na listagem de dispositivos IMOU;IZY-3516;31703;31004;Sub-tarefa-padrão;Concluída;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;Concluída;uriel.lira;uriel.lira;uriel.lira;20/12/24 09:32:11;20/12/24 09:53:06;06/01/25 14:56:12;20/12/24 09:53:06;FRONT;;;0;Adicionar novos parametros para realizar paginação de dispositivos IMOU;;uriel.lira;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i0317w:";Izy - Cycle 24.1 Sprint 1;Izy - Cycle 24.1 Sprint 2;Izy - Cycle 24.1 Sprint 3;;;;;;
[BACKEND] Adicionar paginação no endpoint de sync devices;IZY-3515;31689;31004;Sub-tarefa-padrão;Concluída;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;Concluída;leonandro.gurgel;leonandro.gurgel;leonandro.gurgel;19/12/24 11:09:58;20/12/24 13:57:58;06/01/25 14:56:12;20/12/24 13:57:58;;;;0;;;leonandro.gurgel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i0314s:";Izy - Cycle 24.1 Sprint 1;Izy - Cycle 24.1 Sprint 2;Izy - Cycle 24.1 Sprint 3;;;;;;
